Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#gippius","#gippius",,"#gippius",f,literature,poet / writer,elder,Возрождение / Современные записки / Новый корабль / Литературный смотр / Иллюстрированная Россия / Встречи / Числа,Зеленая лампа / Воскресения
"#merezhkovskij","#merezhkovskij",,"#merezhkovskij",m,literature,writer / editor,elder,Современные записки / Возрождение / Новый корабль / Иллюстрированная Россия / Меч / Встречи / Числа,Зеленая лампа / Воскресения
"#kuznetsova","#kuznetsova",,"#kuznetsova",f,literature,poet / writer,younger,Современные записки / Последние новости,
"#marga_stepun","#marga_stepun",,"#marga_stepun",f,art,singer,,,
"#olechka","#olechka",,"#olechka",f,else,acquaintance,,,
"#zhirova","#zhirova",,"#zhirova",f,else,acquaintance,,,
"#landau","#landau",,"#landau",m,literature,writer / critic / publicist,elder,Дни / Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#zurov","#zurov",,"#zurov",m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
"#murav'ev","#murav'ev",,"#murav'ev",m,relatives,husband,,,
"#murav'eva","#murav'eva",,"#murav'eva",f,art / literature,artist / writer,,,
