Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#adamovich","#adamovich",,"#adamovich",m,literature,poet / critic,younger,Звено / Последние новости / Числа / Встречи / Современные записки / Новый корабль,Зеленая лампа / Круг / Парижская нота
"#berberova","#berberova",,"#berberova",f,literature,poet / writer,younger,Современные записки / Новый корабль / Встречи / Последние новости,Зеленая лампа
"#tsetlin","#tsetlin",,"#tsetlin",m,literature,poet / editor / publisher / patron,elder,Современные записки / Последние новости,Зеленая лампа
"#tsetlina","#tsetlina",,"#tsetlina",f,else,activist,,,
"#aga","#aga",,"#aga",m,else,restaurateur,,,
"#barjatinskij","#barjatinskij",,"#barjatinskij",m,literature / else,prince / journalist / writer,elder,Последние новости,
"#belich","#belich",,"#belich",m,academic,professor,,,
"#teffi","#teffi",,"#teffi",f,literature,writer,elder,Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#tikston","#tikston",,"#tikston",m,else,entrepreneur,,,
"#gippius","#gippius",,"#gippius",f,literature,poet / writer,elder,Возрождение / Современные записки / Новый корабль / Литературный смотр / Иллюстрированная Россия / Встречи / Числа,Зеленая лампа / Воскресения
"#hodasevich","#hodasevich",,"#hodasevich",m,literature,poet / critic,elder,Возрождение / Дни / Современные записки / Иллюстрированная Россия,Зеленая лампа
"#leviny","#leviny",,"#leviny",m / f,else,entrepreneur / acquaintance,,,
"#merezhkovskij","#merezhkovskij",,"#merezhkovskij",m,literature,writer / editor,elder,Современные записки / Возрождение / Новый корабль / Иллюстрированная Россия / Меч / Встречи / Числа,Зеленая лампа / Воскресения
"#brezhnev","#brezhnev",,"#brezhnev",m,else,acquaintance,,,
"#peshkova","#peshkova",,"#peshkova",f,else,human right defender,,,
"#evlogij","#evlogij",,"#evlogij",m,religion,archbishop,,,
"#kurdjumov","#kurdjumov",,"#kurdjumov",f,literature,writer / journalist,elder,,
"#fondaminskij","#fondaminskij",,"#fondaminskij",m,literature / else,editor / revolutionary,elder,Современные записки / Новый град,Круг / Зеленая лампа / Православное дело
"#landau","#landau",,"#landau",m,literature,writer / critic / publicist,elder,Дни / Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#zajtsev","#zajtsev",,"#zajtsev",m,literature,writer,elder,Современные записки / Возрождение / Иллюстрированная Россия / Числа,Зеленая лампа
"#sokolov","#sokolov",,"#sokolov",m,literature,poet / publisher,elder,,
"#unkovskij","#unkovskij",,"#unkovskij",m,medicine,doctor,,,
"#jablonovskij","#jablonovskij",,"#jablonovskij",m,literature,journalist / poet,elder,Возрождение / Иллюстрированная Россия,
"#jushkevich","#jushkevich",,"#jushkevich",m,literature,publicist / philosopher,,,
"#kartashev","#kartashev",,"#kartashev",m,academic,professor,,,
"#kuprin","#kuprin",,"#kuprin",m,literature,writer / editor,elder,Возрождение / Иллюстрированная Россия,
"#kuznetsova","#kuznetsova",,"#kuznetsova",f,literature,poet / writer,younger,Современные записки / Последние новости,
"#roschin","#roschin",,"#roschin",m,literature,writer,younger,Возрождение / Современные записки / Иллюстрированная Россия,
"#tsvibak","#tsvibak",,"#tsvibak",m,literature,writer / journalist,younger,Последние новости,
"#mihajlov","#mihajlov",,"#mihajlov",m,academic,professor,,,
"#prjun'e","#prjun'e",,"#prjun'e",m,else,restaurateur,,,
"#serov","#serov",,"#serov",m,medicine,doctor,,,
"#zajtseva","#zajtseva",,"#zajtseva",f,relatives,wife,,,
