Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#demidov","#demidov",,"#demidov",m,literature / else,politician / journalist,elder,Последние новости,
"#guchkov","#guchkov",,"#guchkov",m,else,politician / minister,,,
"#kerenskij","#kerenskij",,"#kerenskij",m,literature / else,politician / publicist / editor,,Дни / Новая Россия / Современные записки / Иллюстрированная Россия,
"#landau","#landau",,"#landau",m,literature,writer / critic / publicist,elder,Дни / Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#maklakov","#maklakov",,"#maklakov",m,academic,professor,,,
"#mel'gunov","#mel'gunov",,"#mel'gunov",m,academic,professor,,,
"#vishnjak","#vishnjak",,"#vishnjak",m,literature,publicist / editor,elder,Современные записки,Зеленая лампа
"#eremeeva","#eremeeva",,"#eremeeva",f,literature,writer,elder,,
"#fondaminskij","#fondaminskij",,"#fondaminskij",m,literature / else,editor / revolutionary,elder,Современные записки / Новый град,Круг / Зеленая лампа / Православное дело
"#kuprin","#kuprin",,"#kuprin",m,literature,writer / editor,elder,Возрождение / Иллюстрированная Россия,
"#zurov","#zurov",,"#zurov",m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
"#gippius","#gippius",,"#gippius",f,literature,poet / writer,elder,Возрождение / Современные записки / Новый корабль / Литературный смотр / Иллюстрированная Россия / Встречи / Числа,Зеленая лампа / Воскресения
"#merezhkovskij","#merezhkovskij",,"#merezhkovskij",m,literature,writer / editor,elder,Современные записки / Возрождение / Новый корабль / Иллюстрированная Россия / Меч / Встречи / Числа,Зеленая лампа / Воскресения
"#glazunov","#glazunov",,"#glazunov",m,art,composer,,,
"#konjus","#konjus",,"#konjus",f,art,musician,,,
"#rahmaninov","#rahmaninov",,"#rahmaninov",m,art,composer,,,
"#hodasevich","#hodasevich",,"#hodasevich",m,literature,poet / critic,elder,Возрождение / Дни / Современные записки / Иллюстрированная Россия,Зеленая лампа
"#kuznetsova","#kuznetsova",,"#kuznetsova",f,literature,poet / writer,younger,Современные записки / Последние новости,
"#peti","#peti",,"#peti",m,else,lawyer,,,
"#tsetlin","#tsetlin",,"#tsetlin",m,literature,poet / editor / publisher / patron,elder,Современные записки / Последние новости,Зеленая лампа
"#tsetlina","#tsetlina",,"#tsetlina",f,else,activist,,,
"#kugushevy","#kugushevy",,"#kugushevy",m / f,else,prince,,,
"#mochul'skij","#mochul'skij",,"#mochul'skij",m,literature,critic / professor,elder,Современные записки / Последние новости,Зеленая лампа / Круг
"#roschin","#roschin",,"#roschin",m,literature,writer,younger,Возрождение / Современные записки / Иллюстрированная Россия,
"#shmelev","#shmelev",,"#shmelev",m,literature,writer,elder,Возрождение / Современные записки / Иллюстрированная Россия / Встречи,
"#zajtsev","#zajtsev",,"#zajtsev",m,literature,writer,elder,Современные записки / Возрождение / Иллюстрированная Россия / Числа,Зеленая лампа
"#zajtseva","#zajtseva",,"#zajtseva",f,relatives,wife,,,
