Source	Target	Weight
#bunins	#bunins	12.0
#bunins	#kirill_zajtsev	1.0
#bunins	#kuznetsova	5.0
#bunins	#marga_stepun	2.0
#bunins	#mihajlov	1.0
#bunins	#roschin	2.0
#bunins	#ruk'e	1.0
#bunins	#shahovskoj	1.0
#bunins	#stelletskij	1.0
#bunins	#zajtsev	1.0
#bunins	#zurov	3.0
#kirill_zajtsev	#kirill_zajtsev	1.0
#kirill_zajtsev	#stelletskij	1.0
#kuznetsova	#kuznetsova	5.0
#kuznetsova	#marga_stepun	2.0
#kuznetsova	#roschin	1.0
#kuznetsova	#zurov	2.0
#marga_stepun	#marga_stepun	2.0
#mihajlov	#mihajlov	1.0
#roschin	#roschin	2.0
#ruk'e	#ruk'e	1.0
#shahovskoj	#shahovskoj	1.0
#stelletskij	#stelletskij	1.0
#zajtsev	#zajtsev	1.0
#zurov	#zurov	3.0
