Source	Target	Weight
#abramovich	#abramovich	1.0
#abramovich	#bunins	1.0
#abramovich	#fondaminskij	1.0
#abramovich	#hmara	1.0
#abramovich	#landau	1.0
#abramovich	#perskie	1.0
#abramovich	#sirin	1.0
#abramovich	#teffi	1.0
#bunins	#bunins	9.0
#bunins	#fondaminskij	1.0
#bunins	#gippius	1.0
#bunins	#hmara	1.0
#bunins	#landau	1.0
#bunins	#merezhkovskij	1.0
#bunins	#mochul'skij	1.0
#bunins	#perskie	1.0
#bunins	#rahmaninov	1.0
#bunins	#sirin	2.0
#bunins	#teffi	1.0
#bunins	#vrangel'	1.0
#bunins	#zurov	3.0
#fondaminskij	#fondaminskij	1.0
#fondaminskij	#hmara	1.0
#fondaminskij	#landau	1.0
#fondaminskij	#perskie	1.0
#fondaminskij	#sirin	1.0
#fondaminskij	#teffi	1.0
#gippius	#gippius	1.0
#gippius	#merezhkovskij	1.0
#hmara	#hmara	1.0
#hmara	#landau	1.0
#hmara	#perskie	1.0
#hmara	#sirin	1.0
#hmara	#teffi	1.0
#landau	#landau	1.0
#landau	#perskie	1.0
#landau	#sirin	1.0
#landau	#teffi	1.0
#merezhkovskij	#merezhkovskij	1.0
#mochul'skij	#mochul'skij	1.0
#perskie	#perskie	1.0
#perskie	#sirin	1.0
#perskie	#teffi	1.0
#rahmaninov	#rahmaninov	1.0
#sirin	#sirin	2.0
#sirin	#teffi	1.0
#teffi	#teffi	1.0
#vrangel'	#vrangel'	1.0
#zurov	#zurov	3.0
