Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#adamovich","#adamovich",,"#adamovich",m,literature,poet / critic,younger,Звено / Последние новости / Числа / Встречи / Современные записки / Новый корабль,Зеленая лампа / Круг / Парижская нота
"#gippius","#gippius",,"#gippius",f,literature,poet / writer,elder,Возрождение / Современные записки / Новый корабль / Литературный смотр / Иллюстрированная Россия / Встречи / Числа,Зеленая лампа / Воскресения
"#merezhkovskij","#merezhkovskij",,"#merezhkovskij",m,literature,writer / editor,elder,Современные записки / Возрождение / Новый корабль / Иллюстрированная Россия / Меч / Встречи / Числа,Зеленая лампа / Воскресения
"#otsup","#otsup",,"#otsup",m,literature,poet,younger,Новый корабль / Числа,Зеленая лампа
"#berberova","#berberova",,"#berberova",f,literature,poet / writer,younger,Современные записки / Новый корабль / Встречи / Последние новости,Зеленая лампа
"#kuznetsova","#kuznetsova",,"#kuznetsova",f,literature,poet / writer,younger,Современные записки / Последние новости,
"#nilus","#nilus",,"#nilus",m,art,artist,,,
"#denikin","#denikin",,"#denikin",m,else,general,,,
"#landau","#landau",,"#landau",m,literature,writer / critic / publicist,elder,Дни / Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#el'jashevich","#el'jashevich",,"#el'jashevich",m,literature,publicist / professor,elder,,
"#fedotov","#fedotov",,"#fedotov",m,academic,professor,,,
"#vysheslavtsev","#vysheslavtsev",,"#vysheslavtsev",m,academic,philosopher,,,
"#fondaminskij","#fondaminskij",,"#fondaminskij",m,literature / else,editor / revolutionary,elder,Современные записки / Новый град,Круг / Зеленая лампа / Православное дело
"#l'vov","#l'vov",,"#l'vov",m,else,prince,,,
"#manuhin","#manuhin",,"#manuhin",m,medicine,doctor,,,
"#odoevtseva","#odoevtseva",,"#odoevtseva",f,literature,poet,younger,Иллюстрированная Россия / Встречи / Последние новости / Числа,Зеленая лампа / Круг
"#zajtsev","#zajtsev",,"#zajtsev",m,literature,writer,elder,Современные записки / Возрождение / Иллюстрированная Россия / Числа,Зеленая лампа
"#zajtseva","#zajtseva",,"#zajtseva",f,relatives,wife,,,
"#glazunov","#glazunov",,"#glazunov",m,art,composer,,,
"#sorin","#sorin",,"#sorin",m,art,artist,,,
"#teffi","#teffi",,"#teffi",f,literature,writer,elder,Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#tikston","#tikston",,"#tikston",m,else,entrepreneur,,,
"#il'in","#il'in",,"#il'in",m,academic,professor,,,
"#ivanov","#ivanov",,"#ivanov",m,literature,poet / writer,younger,Новый корабль / Иллюстрированная Россия / Встречи / Последние новости / Числа,Зеленая лампа / Круг
"#kul'man","#kul'man",,"#kul'man",m,academic / literature,professor / publicist,elder,Возрождение / Современные записки / Россия и славянство / Русская мысль,
"#stepun","#stepun",,"#stepun",m,academic / literature,professor / critic,elder,Новый град / Современные записки / Возрождение,
"#lopatina","#lopatina",,"#lopatina",f,literature,writer,elder,Последние новости / Современные записки,
"#miljukov","#miljukov",,"#miljukov",m,academic,professor,,,
"#natasha_zajtseva","#natasha_zajtseva",,"#natasha_zajtseva",f,relatives,daughter,,,
"#roschin","#roschin",,"#roschin",m,literature,writer,younger,Возрождение / Современные записки / Иллюстрированная Россия,
"#zurov","#zurov",,"#zurov",m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
"#shmelev","#shmelev",,"#shmelev",m,literature,writer,elder,Возрождение / Современные записки / Иллюстрированная Россия / Встречи,
"#tsetlin","#tsetlin",,"#tsetlin",m,literature,poet / editor / publisher / patron,elder,Современные записки / Последние новости,Зеленая лампа
"#tsetlina","#tsetlina",,"#tsetlina",f,else,activist,,,
