Source	Target	Weight
#adamovich	#adamovich	2.0
#adamovich	#bunins	2.0
#adamovich	#gippius	1.0
#adamovich	#merezhkovskij	1.0
#adamovich	#otsup	1.0
#berberova	#berberova	1.0
#berberova	#bunins	1.0
#berberova	#kuznetsova	1.0
#berberova	#nilus	1.0
#bunins	#bunins	41.0
#bunins	#denikin	1.0
#bunins	#el'jashevich	1.0
#bunins	#fedotov	1.0
#bunins	#fondaminskij	5.0
#bunins	#gippius	11.0
#bunins	#glazunov	1.0
#bunins	#il'in	1.0
#bunins	#ivanov	1.0
#bunins	#kul'man	1.0
#bunins	#kuznetsova	3.0
#bunins	#l'vov	1.0
#bunins	#landau	3.0
#bunins	#lopatina	1.0
#bunins	#manuhin	1.0
#bunins	#merezhkovskij	5.0
#bunins	#miljukov	1.0
#bunins	#natasha_zajtseva	1.0
#bunins	#nilus	1.0
#bunins	#odoevtseva	1.0
#bunins	#otsup	1.0
#bunins	#roschin	2.0
#bunins	#shmelev	2.0
#bunins	#sorin	1.0
#bunins	#stepun	2.0
#bunins	#teffi	3.0
#bunins	#tikston	1.0
#bunins	#tsetlin	2.0
#bunins	#tsetlina	2.0
#bunins	#vysheslavtsev	1.0
#bunins	#zajtsev	4.0
#bunins	#zajtseva	3.0
#bunins	#zurov	4.0
#denikin	#denikin	1.0
#denikin	#landau	1.0
#el'jashevich	#el'jashevich	1.0
#fedotov	#fedotov	1.0
#fedotov	#vysheslavtsev	1.0
#fondaminskij	#fondaminskij	5.0
#fondaminskij	#gippius	1.0
#fondaminskij	#kuznetsova	1.0
#fondaminskij	#l'vov	1.0
#fondaminskij	#landau	1.0
#fondaminskij	#merezhkovskij	1.0
#gippius	#gippius	11.0
#gippius	#manuhin	1.0
#gippius	#merezhkovskij	5.0
#gippius	#odoevtseva	1.0
#gippius	#otsup	1.0
#gippius	#zajtsev	1.0
#gippius	#zajtseva	1.0
#glazunov	#glazunov	1.0
#glazunov	#sorin	1.0
#glazunov	#teffi	1.0
#glazunov	#tikston	1.0
#il'in	#il'in	1.0
#ivanov	#ivanov	1.0
#kul'man	#kul'man	1.0
#kuznetsova	#kuznetsova	3.0
#kuznetsova	#nilus	1.0
#l'vov	#l'vov	1.0
#l'vov	#landau	1.0
#landau	#landau	3.0
#landau	#stepun	1.0
#landau	#teffi	1.0
#landau	#zajtsev	1.0
#lopatina	#lopatina	1.0
#manuhin	#manuhin	1.0
#merezhkovskij	#merezhkovskij	5.0
#merezhkovskij	#odoevtseva	1.0
#merezhkovskij	#otsup	1.0
#miljukov	#miljukov	1.0
#natasha_zajtseva	#natasha_zajtseva	1.0
#natasha_zajtseva	#stepun	1.0
#nilus	#nilus	1.0
#odoevtseva	#odoevtseva	1.0
#otsup	#otsup	1.0
#roschin	#roschin	2.0
#roschin	#zurov	1.0
#shmelev	#shmelev	2.0
#sorin	#sorin	1.0
#sorin	#teffi	1.0
#sorin	#tikston	1.0
#stepun	#stepun	2.0
#stepun	#teffi	1.0
#stepun	#zajtsev	1.0
#teffi	#teffi	3.0
#teffi	#tikston	1.0
#teffi	#zajtsev	1.0
#tikston	#tikston	1.0
#tsetlin	#tsetlin	2.0
#tsetlin	#tsetlina	2.0
#tsetlina	#tsetlina	2.0
#vysheslavtsev	#vysheslavtsev	1.0
#zajtsev	#zajtsev	4.0
#zajtsev	#zajtseva	3.0
#zajtseva	#zajtseva	3.0
#zurov	#zurov	4.0
