Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#abramovich","#abramovich",,"#abramovich",m,else,politician,,,
"#fondaminskij","#fondaminskij",,"#fondaminskij",m,literature / else,editor / revolutionary,elder,Современные записки / Новый град,Круг / Зеленая лампа / Православное дело
"#hmara","#hmara",,"#hmara",m,art,actor,,,
"#landau","#landau",,"#landau",m,literature,writer / critic / publicist,elder,Дни / Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#perskie","#perskie",,"#perskie",m / f,else,acquaintance,,,
"#sirin","#sirin",,"#sirin",m,literature,writer,younger,Возрождение / Современные записки,
"#teffi","#teffi",,"#teffi",f,literature,writer,elder,Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
"#gippius","#gippius",,"#gippius",f,literature,poet / writer,elder,Возрождение / Современные записки / Новый корабль / Литературный смотр / Иллюстрированная Россия / Встречи / Числа,Зеленая лампа / Воскресения
"#merezhkovskij","#merezhkovskij",,"#merezhkovskij",m,literature,writer / editor,elder,Современные записки / Возрождение / Новый корабль / Иллюстрированная Россия / Меч / Встречи / Числа,Зеленая лампа / Воскресения
"#mochul'skij","#mochul'skij",,"#mochul'skij",m,literature,critic / professor,elder,Современные записки / Последние новости,Зеленая лампа / Круг
"#rahmaninov","#rahmaninov",,"#rahmaninov",m,art,composer,,,
"#vrangel'","#vrangel'",,"#vrangel'",f,literature,writer / journalist / activist,elder,Возрождение / Новый журнал,
"#zurov","#zurov",,"#zurov",m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
