Source	Target	Weight
#bunins	#bunins	14.0
#bunins	#gippius	1.0
#bunins	#kuznetsova	2.0
#bunins	#landau	1.0
#bunins	#marga_stepun	2.0
#bunins	#merezhkovskij	1.0
#bunins	#murav'ev	1.0
#bunins	#murav'eva	3.0
#bunins	#olechka	6.0
#bunins	#zhirova	5.0
#bunins	#zurov	1.0
#gippius	#gippius	1.0
#gippius	#merezhkovskij	1.0
#kuznetsova	#kuznetsova	2.0
#kuznetsova	#marga_stepun	2.0
#kuznetsova	#olechka	1.0
#kuznetsova	#zhirova	2.0
#landau	#landau	1.0
#landau	#zurov	1.0
#marga_stepun	#marga_stepun	2.0
#marga_stepun	#olechka	1.0
#marga_stepun	#zhirova	2.0
#merezhkovskij	#merezhkovskij	1.0
#murav'ev	#murav'ev	1.0
#murav'ev	#murav'eva	1.0
#murav'eva	#murav'eva	3.0
#olechka	#olechka	6.0
#olechka	#zhirova	2.0
#zhirova	#zhirova	5.0
#zurov	#zurov	1.0
